Item type,Item ID,Compiler #,Cockpit priority,Urgency score,Phase,Suggested decision,Chapter or lane,Date,Title,Release or status,Pages,NAID or targets,Decision question,Next action,Pending tasks,Linked sheets,Source note or need,Catalog URL,PDF URL
Potential lead,catalog-lead-323150513,,Low,45,Finalize source note,Context or later review,Pakistan,1989-01-20,Bhutto Departure 6/6/89,Locator/context lead; Online object available,,323150513,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?",Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.,"Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Medium boundary #59: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Context/locator decision: The lead is lower priority or contextual; keep visible but do not promote without a specific policy-bearing page or file.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, White House Office of Speechwriting, Speech Draft Files, Bhutto Departure 6/6/89. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/323150513,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-spe/speechwriting_draft_chron_578973/41-bpr-speech-draft-chron-13490-003_323150513.pdf
Potential lead,catalog-lead-323152491,,Low,45,Finalize source note,Context or later review,Pakistan,1989-01-20,Departure Statement for Prime Minister Bhutto 6/6/89 [OA 6264],Locator/context lead; Online object available,,323152491,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?",Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.,"Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Medium boundary #60: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Context/locator decision: The lead is lower priority or contextual; keep visible but do not promote without a specific policy-bearing page or file.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, White House Office of Speechwriting, Speech Backup Chronological Files, Departure Statement for Prime Minister Bhutto 6/6/89 [OA 6264]. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/323152491,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-spe/speechwriting_backup_chron_579003/41-bpr-speech-backup-chron-13671-005_323152491.pdf
Potential lead,catalog-lead-286185941,,Low,45,Finalize source note,Context or later review,Regional,1989-01-20,"Milam, William - AMB to Bangladesh",Review lead; Online object available,,286185941,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?",Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.,"Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Medium boundary #61: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Context/locator decision: The lead is lower priority or contextual; keep visible but do not promote without a specific policy-bearing page or file.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, White House Office of Presidential Personnel, Katja Bullock Appointment Files, Milam, William - AMB to Bangladesh. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/286185941,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/foia/2000/Batch0001/41-bpr-pers-bullock-appt-07091-008.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg302,,Low,45,Finalize source note,Use as locator/context unless selected,India,1992-02-24,Nomination of Thomas R. Pickering To Be United States Ambassador to India,Chronology-only public context; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, February 24, 1992, ""Nomination of Thomas R. Pickering To Be United States Ambassador to India"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg302.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg302.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg351,,Low,45,Finalize source note,Use as locator/context unless selected,Afghanistan,1992-02-28,Presidential Determination No. 92-18--Memorandum on Certification for Major Narcotics Producing and Transit Countries,Locator for internal decision file; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, February 28, 1992, ""Presidential Determination No. 92-18--Memorandum on Certification for Major Narcotics Producing and Transit Countries"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg351.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg351.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg473,,Low,45,Finalize source note,Use as locator/context unless selected,Regional,1992-03-19,Statement by Press Secretary Fitzwater on the President's Meeting With Prime Minister Begum Khaleda Zia of Bangladesh,Review lead; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, March 19, 1992, ""Statement by Press Secretary Fitzwater on the President's Meeting With Prime Minister Begum Khaleda Zia of Bangladesh"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg473.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg473.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg579,,Low,45,Finalize source note,Use as locator/context unless selected,Afghanistan,1992-04-10,The President's News Conference,Chronology-only public context; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, April 10, 1992, ""The President's News Conference"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg579.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg579.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg725-2,,Low,45,Finalize source note,Use as locator/context unless selected,Regional,1992-05-07,Nomination of Teresita Currie Schaffer To Be United States Ambassador to Sri Lanka and Maldives,Chronology-only public context; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, May 7, 1992, ""Nomination of Teresita Currie Schaffer To Be United States Ambassador to Sri Lanka and Maldives"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg725-2.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg725-2.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg820-2,,Low,45,Finalize source note,Use as locator/context unless selected,Afghanistan,1992-05-27,"Remarks at the United States Naval Academy Commencement Ceremony in Annapolis, Maryland",Chronology-only public context; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, May 27, 1992, ""Remarks at the United States Naval Academy Commencement Ceremony in Annapolis, Maryland"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg820-2.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg820-2.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg944,,Low,45,Finalize source note,Use as locator/context unless selected,Afghanistan,1992-06-16,Remarks With President Boris Yeltsin of Russia Announcing Strategic Arms Reductions and an Exchange With Reporters,Chronology-only public context; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, June 16, 1992, ""Remarks With President Boris Yeltsin of Russia Announcing Strategic Arms Reductions and an Exchange With Reporters"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg944.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg944.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg953,,Low,45,Finalize source note,Use as locator/context unless selected,Afghanistan,1992-06-17,The President's News Conference With President Boris Yeltsin of Russia,Chronology-only public context; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, June 17, 1992, ""The President's News Conference With President Boris Yeltsin of Russia"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg953.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg953.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg1118,,Low,45,Finalize source note,Use as locator/context unless selected,Pakistan,1992-07-14,Nomination of John Cameron Monjo To Be United States Ambassador to Pakistan,Chronology-only public context; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, July 14, 1992, ""Nomination of John Cameron Monjo To Be United States Ambassador to Pakistan"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg1118.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg1118.pdf
Potential lead,public-paper-lead-PPP-1992-book1-doc-pg1150,,Low,45,Finalize source note,Use as locator/context unless selected,Afghanistan,1992-07-21,"Remarks to Religious and Ethnic Groups in Garfield, New Jersey",Chronology-only public context; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, July 21, 1992, ""Remarks to Religious and Ethnic Groups in Garfield, New Jersey"", GovInfo package PPP-1992-book1, granule PPP-1992-book1-doc-pg1150.",,https://www.govinfo.gov/content/pkg/PPP-1992-book1/pdf/PPP-1992-book1-doc-pg1150.pdf
Potential lead,public-paper-lead-PPP-1992-book2-doc-pg1729,,Low,45,Finalize source note,Use as locator/context unless selected,Pakistan,1992-09-30,Presidential Determination No. 92-49--Memorandum on Disaster Assistance for Pakistan,Locator for internal decision file; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, September 30, 1992, ""Presidential Determination No. 92-49--Memorandum on Disaster Assistance for Pakistan"", GovInfo package PPP-1992-book2, granule PPP-1992-book2-doc-pg1729.",,https://www.govinfo.gov/content/pkg/PPP-1992-book2/pdf/PPP-1992-book2-doc-pg1729.pdf
Potential lead,public-paper-lead-PPP-1992-book2-doc-pg1740,,Low,45,Finalize source note,Use as locator/context unless selected,Regional,1992-10-02,Presidential Determination No. 93-1--Memorandum on Refugee Admissions,Locator for internal decision file; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, October 2, 1992, ""Presidential Determination No. 93-1--Memorandum on Refugee Admissions"", GovInfo package PPP-1992-book2, granule PPP-1992-book2-doc-pg1740.",,https://www.govinfo.gov/content/pkg/PPP-1992-book2/pdf/PPP-1992-book2-doc-pg1740.pdf
Potential lead,public-paper-lead-PPP-1992-book2-doc-pg1772,,Low,45,Finalize source note,Use as locator/context unless selected,Afghanistan,1992-10-07,Presidential Determination No. 93-3--Memorandum on Trade With Afghanistan,Locator for internal decision file; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, October 7, 1992, ""Presidential Determination No. 93-3--Memorandum on Trade With Afghanistan"", GovInfo package PPP-1992-book2, granule PPP-1992-book2-doc-pg1772.",,https://www.govinfo.gov/content/pkg/PPP-1992-book2/pdf/PPP-1992-book2-doc-pg1772.pdf
Potential lead,catalog-lead-543965098,,Low,45,Finalize source note,Context or later review,Regional,1992-11-02,WHPO-P37850,Locator/context lead; Online object available,,543965098,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?",Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.,"Unrestricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Medium boundary #62: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Context/locator decision: The lead is lower priority or contextual; keep visible but do not promote without a specific policy-bearing page or file.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, White House Photograph Office, George H. W. Bush Presidential Photographs, WHPO-P37850. Unrestricted.",https://catalog.archives.gov/id/543965098,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whpo/186364/P37850/41-AV-P37850-11021992.jpg
Potential lead,public-paper-lead-PPP-1992-book2-doc-pg2264,,Low,45,Finalize source note,Use as locator/context unless selected,Pakistan,1993-01-19,Letter to Congressional Leaders Reporting on Nuclear Nonproliferation,Locator for internal decision file; Public presidential statement,,,Can the Source Note be finalized from the PDF citation sheet/title page while keeping provenance metadata out of the visible note?,"If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.","Public/context promotion decision: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Promotion citation draft: If promoted, extract a publication-ready Source Note from the PDF/title page and move Catalog metadata, URLs, NAIDs, object filenames, and page-count basis to provenance.; Context/locator decision: Public material should usually locate internal files or support chronology unless it is intentionally selected as public text.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-source-note-finalization.md,"Source: Public Papers of the Presidents of the United States: George H.W. Bush, January 19, 1993, ""Letter to Congressional Leaders Reporting on Nuclear Nonproliferation"", GovInfo package PPP-1992-book2, granule PPP-1992-book2-doc-pg2264.",,https://www.govinfo.gov/content/pkg/PPP-1992-book2/pdf/PPP-1992-book2-doc-pg2264.pdf
